lga_code,lga_name,state,welcoming_city_member,welcoming_city_accreditation,palm_alliance,crisp_settled,overseas_born_pct,language_other_than_english_pct,population,median_age
48640,Wudinna,SA,,,,0,4.4,1.1,1136,
48750,Yankalilla,SA,,,,0,17.4,2.1,5834,
48830,Yorke Peninsula,SA,,,,0,9,1.7,11598,
49399,Unincorporated SA,SA,,,,0,9,15.3,3006,
49499,No usual address (SA),SA,,,,0,15.6,8.7,3377,
49799,Migratory - Offshore - Shipping (SA),SA,,,,0,,,12,
50080,Albany,WA,,,,0,19.2,6,38763,
50210,Armadale,WA,Y,,,0,36.1,23.3,94184,
50250,Ashburton,WA,,,,0,18.9,10.7,7391,
50280,Augusta Margaret River,WA,,,,1,22.4,7.4,16791,
50350,Bassendean,WA,,,,0,27.2,13.7,15932,
50420,Bayswater,WA,,,,3,37.7,27,69283,
50490,Belmont,WA,,,,1,40.9,30.7,42257,
50560,Beverley,WA,,,,0,18.1,3.1,1694,
50630,Boddington,WA,,,,0,14.9,4.8,1705,
50770,Boyup Brook,WA,,,,0,12.8,2.5,1834,
50840,Bridgetown-Greenbushes,WA,Y,,,0,21.6,3.2,5238,
50910,Brookton,WA,,,,0,9.7,4.6,929,
50980,Broome,WA,,,,0,14.4,12.1,16959,
51080,Broomehill-Tambellup,WA,,,,0,9.2,2.9,1046,
51120,Bruce Rock,WA,,,,0,8.8,3.6,979,
51190,Bunbury,WA,,,,0,19.7,8.5,32987,
51260,Busselton,WA,,,,0,19.3,5.1,40640,
51310,Cambridge,WA,,,,7,30.6,14.5,28876,
51330,Canning,WA,Y,,,4,50.9,42.5,95860,
51400,Capel,WA,,,,0,21.9,8.7,18175,
51470,Carnamah,WA,,,,0,14.3,3.8,552,
51540,Carnarvon,WA,,,,0,18.4,12.5,5251,
51610,Chapman Valley,WA,,,,9,13.5,2.4,1556,
51680,Chittering,WA,,,,0,23.4,4.4,5930,
51710,Christmas Island,WA,,,,0,44.1,44.6,1692,
51750,Claremont,WA,,,,0,31.3,12.5,11284,
51820,Cockburn,WA,Y,,,1,34.2,21.4,118091,
