name,type,address,postcode,state,lat,lon,precision
Community Refugee Integration and Settlement Pilot,crisp,,3190,VIC,-37.951394,145.038147,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3191,VIC,-37.956585,145.013472,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3192,VIC,-37.965655,145.0623,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3193,VIC,-37.978698,145.031561,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3194,VIC,-37.985059,145.067356,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3195,VIC,-38.007024,145.104105,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3196,VIC,-38.046479,145.122762,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3198,VIC,-38.103194,145.137811,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3204,VIC,-37.916956,145.036783,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3205,VIC,-37.831693,144.958176,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3206,VIC,-37.846534,144.95086,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3207,VIC,-37.832179,144.918044,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3216,VIC,-38.215906,144.334005,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3227,VIC,-38.263052,144.40814,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3228,VIC,-38.307545,144.299978,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3231,VIC,-38.459435,144.106892,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3239,VIC,-38.564014,143.448102,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3250,VIC,-38.311513,143.584742,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3280,VIC,-38.37884,142.482889,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3285,VIC,-38.290199,142.058916,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3434,VIC,-37.35388,144.750796,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3435,VIC,-37.179453,144.743358,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3437,VIC,-37.501619,144.513018,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3442,VIC,-37.330661,144.548846,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3444,VIC,-37.171788,144.544716,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3446,VIC,-37.184831,144.374338,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3448,VIC,-37.075364,144.387629,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3450,VIC,-37.061635,144.214903,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3451,VIC,-37.125338,144.21419,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3461,VIC,-37.287848,144.170995,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3463,VIC,-36.957983,144.05651,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3550,VIC,-36.764269,144.285267,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3551,VIC,-36.78137,144.457937,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3555,VIC,-36.777226,144.245239,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3556,VIC,-36.656422,144.178282,postcode_centroid
Community Refugee Integration and Settlement Pilot,crisp,,3690,VIC,-36.135717,146.864361,postcode_centroid
