name,type,address,postcode,state,lat,lon,precision
Perth African Nations Sports Association (PANSA),cop,,6104,WA,-31.965498,115.977633,postcode_centroid
Perth African Nations Sports Association (PANSA),cop,,6151,WA,-31.982199,115.869482,postcode_centroid
Gortankaku Community Association of WA,cop,,6065,WA,-31.69444,115.845329,postcode_centroid
Federation of Indian Associations of WA,cop,,6112,WA,-32.158675,115.997934,postcode_centroid
Federation of Indian Associations of WA,cop,,6155,WA,-32.061501,115.890779,postcode_centroid
Federation of Indian Associations of WA,cop,,6110,WA,-32.078535,116.008603,postcode_centroid
Western Australia Kannada Sangha,cop,,6104,WA,-31.965498,115.977633,postcode_centroid
Western Australia Kannada Sangha,cop,,6155,WA,-32.061501,115.890779,postcode_centroid
Cockburn Chinese Community Association,cop,,6164,WA,-32.131993,115.854584,postcode_centroid
Bunbury Multicultural Group,cop,,6230,WA,-33.341076,115.649205,postcode_centroid
Organisation of African Communities in Western Australia,cop,,6112,WA,-32.158675,115.997934,postcode_centroid
Organisation of African Communities in Western Australia,cop,,6155,WA,-32.061501,115.890779,postcode_centroid
Organisation of African Communities in Western Australia,cop,,6167,WA,-32.223657,115.835308,postcode_centroid
Organisation of African Communities in Western Australia,cop,,6000,WA,-31.948762,115.859912,postcode_centroid
Organisation of African Communities in Western Australia,cop,,6021,WA,-31.871671,115.811933,postcode_centroid
Organisation of African Communities in Western Australia,cop,,6056,WA,-31.838398,116.0261,postcode_centroid
Organisation of African Communities in Western Australia,cop,,6065,WA,-31.69444,115.845329,postcode_centroid
Rajasthani Kutumb - Australia,cop,,6155,WA,-32.061501,115.890779,postcode_centroid

Rajasthani Kutumb - Australia,cop,,6110,WA,-32.078535,116.008603,postcode_centroid
